Date,Dressing Tandoor,Tandoori,Spl Leg,Boneless,Full Leg,Wings,Boiler,Egg
16/09/25,,5.1,3,5,0,0,0,0
17/09/25,0,8,10.2,4,0,0,0,
18/09/25,0,5.3,5.2,5,0,3,,60
19/09/25,0,5,5.1,2,0,1,0,
20/09/25,0,0,20,5,2,0,,60
21/09/25,,4.95,5,3,,3,,
22/09/25,0,0,10,3,,,,
23/09/25,0,5,5,2,0,1,,60
24/09/25,0,4.3,5,3,,2,,
25/09/25,0,,,2,,,,
26/09/25,0,,,,,,,
27/09/25,0,,3,,,,,
28/09/25,0,5,5,0,0,1,0,
29/09/25,0,,3,3,,,,60
30/09/25,0,4.7,5,2,,,,
01/10/25,0,10.2,13,2,0,1,0,0
02/10/25,0,10.1,9.15,,,,,60
03/10/25,0,,10,4,3.1,1,3.6,
04/10/25,0,13.6,20,2,0,2,,
05/10/25,0,4.8,15,3,2,,,90
06/10/25,0,4.9,15,4,0,1,,
07/10/25,0,5.65,8,3,,,,
08/10/25,0,7.9,15.1,4,3.3,2,,
09/10/25,0,5,15,4,,1,,75
10/10/25,0,4.85,10,2,0,2,,
11/10/25,0,4.8,5.1,4,,,,
12/10/25,0,14.4,20,8,1.25,2,,60
13/10/25,0,4.7,3.1,5,0,4,0,
14/10/25,0,5.7,10.15,2,,1,,
15/10/25,0,10.8,15,3,0,3,0,
16/10/25,0,14.9,15.1,7,,2,,60
17/10/25,0,14.35,5.2,7,,1,,
18/10/25,0,,5,3,,,,
19/10/25,0,5.1,5.2,,,,,
20/10/25,0,,,3,,4.1,,
21/10/25,0,5.1,10.1,5,,,,
22/10/25,0,4.75,15,7,,2,,
23/10/25,0,5,3.2,2,2.2,1,,
24/10/25,0,5.6,10.2,5,,2,,
25/10/25,0,5,5.2,4,,3,,
26/10/25,0,,,,,,,
27/10/25,0,,,,,,,
28/10/25,0,,10,2,,4,,
29/10/25,0,10.2,8,6,,4,,
30/10/25,0,6.7,20.45,6,,2,,
31/10/25,0,4.8,15,4,,,,
01/11/25,0,15.1,25.2,9,,8,,
02/11/25,0,,6,5,,,,
03/11/25,0,,15,7,,1,,
04/11/25,0,,6.19,3.19,,,,
